date;title;format;media;author;author2;author3;author4;author5;author6;url
10/06/2018;Agriculture : oser le libre-échange;Rapport;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Etudes-et-Monographies/article/Agriculture-oser-le-libre-echange
04/06/2018;Loi alimentation : des solutions trompeuses pour des constats erronés;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/Loi-alimentation-des-solutions-trompeuses-pour-des-constats-errones
30/05/2018;Comment faire avancer les idées libérales ?;Interview;Students for Liberty;René de Laportalière;Laurent Pahpy;;;;;https://www.youtube.com/watch?v=1PuqmxZAN_c
27/05/2018;L’agriculture française peut-elle se passer de la PAC ?;Débat;Europe 1;Frédéric Taddeï;Laurent Pahpy;Patrick Ferrere;Henri Brichart;Nicolas Girod ;;http://www.europe1.fr/emissions/les-experts-deurope-soir/le-debat-deurope-soir-frederic-taddei-lagriculture-francaise-peut-elle-se-passer-de-la-pac-3695330
08/05/2018;PAC : il faut arrêter la culture des subventions;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/PAC-il-faut-arreter-la-culture-des-subventions
03/05/2018;Macron est-il le président de l'évasion fiscale ?;Débat;Sud Radio;Philippe David;Liem Hoang Ngoc;Benjamin Masse-Stamberger;Laurent Pahpy;Robert Lafont;;https://www.youtube.com/watch?v=zzamYJMAthw
01/05/2018;Indice des libertés humaines : la France toujours très loin du podium;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/Indice-des-libertes-humaines-la-France-toujours-tres-loin-du-podium
16/04/2018;Les blocages n’ont plus d’importance, les universités sont obsolètes;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/Les-blocages-n-ont-plus-d-importance-les-universites-sont-obsoletes
09/04/2018;Projet de loi sur le logement : encore trop loin du compte;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/Projet-de-loi-sur-le-logement-encore-trop-loin-du-compte
02/04/2018;Quand l’IREF débat avec l’économiste de Mélenchon;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/Quand-l-IREF-debat-avec-l-economiste-de-Melenchon
26/03/2018;Et si on faisait la grève des syndicats ?;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/article/Et-si-on-faisait-la-greve-des-syndicats
23/03/2018;Payons-nous trop d'impôts ?;Débat;Sud Radio;Philippe David;Liem Hoang Ngoc;Laurent Pahpy;Robert Lafont;;;https://www.youtube.com/watch?v=uwUsfHHZ9MA
19/03/2018;Quand l’État force les pauvres à payer pour les riches : cinq exemples;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/Quand-l-Etat-force-les-pauvres-a-payer-pour-les-riches
14/03/2018;« Libérons les agriculteurs, laissons-les être compétitifs »;Article;La France Agricole;Laurent Pahpy;Marie Salset;;;;;http://www.lafranceagricole.fr/courrier/cest-son-avis-liberons-les-agriculteurs-laissons-les-etre-competitifs-1,3,647707997.html
06/03/2018;Pesticides : Élise Lucet a encore frappé;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/Pesticides-Elise-Lucet-a-encore-frappe
27/02/2018;« On étouffe nos agriculteurs en prétendant les protéger »;Article;Le Figaro;Laurent Pahpy;;;;;;http://www.lefigaro.fr/vox/economie/2018/02/27/31007-20180227ARTFIG00259-on-etouffe-nos-agriculteurs-en-pretendant-les-proteger.php
22/02/2018;Libérer les agriculteurs du joug administratif ;Rapport;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Etudes-et-Monographies/Liberer-les-agriculteurs-du-joug-administratif
21/02/2018;L’État face au Bitcoin : inutile et pathétique;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/L-Etat-face-au-Bitcoin-inutile-et-pathetique
13/02/2018;Faut-il revenir au protectionnisme ?;Débat;Sud Radio;Philippe David;Benjamin Masse-Stamberger;Laurent Pahpy;Robert Lafont;Christophe Madrolle;;https://www.youtube.com/watch?v=hzgafnJV3mc
06/02/2018;Intelligence artificielle et chômage de masse : ayons l’intelligence de ne rien prédire;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/Intelligence-artificielle-et-chomage-de-masse
23/01/2018;Compétitivité : la filière a tout faux;Interview;La Vigne;Laurent Pahpy;Bertrand Collard;;;;;https://fr.irefeurope.org/Actions-et-Manifestations/L-IREF-dans-les-medias/Vin-la-filiere-a-tout-faux
22/01/2018;Crise du lait et émission « Cash Investigation » : incompétence journalistique ou malhonnêteté intellectuelle ?;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/Crise-du-lait-et-emission-Cash-Investigation
19/01/2018;À quoi ressemble une politique ultra-libérale appliquée à la filière vin ?;Article;Mon Viti;Séverine Favre;;;;;;https://www.mon-viti.com/node/23729/activer
09/01/2018;En 2018, envoyons nos ministres en stage dans les pays qui ont fait des réformes !;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/En-2018-envoyons-nos-ministres-en-stage
11/12/2017;En Suisse, la télévision publique vit peut-être ses derniers jours;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/En-Suisse-la-television-publique-vit-peut-etre-ses-derniers-jours
28/11/2017;Glyphosate : un traitement médiatique honteux;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/Glyphosate-un-traitement-mediatique-honteux
28/11/2017;Les startups ne révolutionneront pas l’immobilier sans remise à plat réglementaire;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/Les-startups-ne-revolutionneront-pas-l-immobilier-sans-remise-a-plat-reglementaire
25/11/2017;#LibFed1 - Les fondements du fédéralisme et du libéralisme;Débat;Students for Liberty;Jean-Philippe Feldman;David Soldini;Laurent Pahpy;;;;https://www.youtube.com/watch?v=xIdAhL-W08Y
25/11/2017;#LibFed2 - L'Union européenne est-elle ultralibérale ?;Débat;Students for Liberty;Bertrand Lemennicier;Dany Lang;Laurent Pahpy;;;;https://www.youtube.com/watch?v=et0kJCUBrDM
25/11/2017;#LibFed3 - Le fédéralisme protège-t-il la liberté ?;Débat;Students for Liberty;Christian Michel;Ophélie Omnes;Laurent Pahpy;;;;https://www.youtube.com/watch?v=Ak_ImvUzQIE
16/11/2017;Comment rétablir la compétitivité de la viticulture française ;Rapport;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Etudes-et-Monographies/Comment-retablir-la-competitivite-de-la-viticulture-francaise
15/11/2017;Vin : un rapport propose de privatiser le système des AOC et des IGP;Article;Le Figaro;Ivan Letessier;;;;;;http://www.lefigaro.fr/conjoncture/2017/11/15/20002-20171115ARTFIG00356-vin-un-rapport-propose-de-privatiser-le-systeme-des-aoc-et-des-igp.php
06/11/2017;Glyphosate : et si l’interdire était encore plus risqué ?;Article;IREF;Laurent Pahpy;;;;;;https://fr.irefeurope.org/Publications/Articles/Glyphosate-et-si-l-interdire-etait-encore-plus-risque
24/10/2017;Student startup : tout risquer pour entreprendre ?;Débat;Students for Liberty;Ferghane Azihari;Nicolas Bustamante;Lucas Quinonero;Donia Souad Amamra;Maxime Blondel;Laurent Pahpy;https://www.youtube.com/watch?v=wNVZ5FfXMVk
28/04/2017;Et si on se réappropriait la monnaie ?;Débat;Students for Liberty;Pascal Salin;Anne-Laure Delatte;Laurent Pahpy;;;;https://www.youtube.com/watch?v=-D4OAUpxx1Y
14/04/2017;Autorisation du commerce de la corne de rhinocéros : une excellente nouvelle !;Article;Contrepoints;Laurent Pahpy;Ficta;;;;;https://www.contrepoints.org/2017/04/13/286695-autorisation-commerce-de-corne-de-rhinoceros-excellente-nouvelle
13/04/2017;Trois erreurs communes sur le libre-échange;Article;Le Taurillon;Laurent Pahpy;Ficta;;;;;https://www.taurillon.org/trois-erreurs-communes-sur-le-libre-echange
